,Title,Date,Time,Score,Comments
0,British man charged after US gamer is shot by Swat police following hoax terrorism call,12-04-2017,11:24:14,17472,3339
1,Ukraine ledger reveals $1.2 million in off-the-books payments to ex-Trump aide Paul Manafort,12-04-2017,13:26:48,4798,415
2,United passenger threatened with handcuffs to make room for higher-priority traveler,12-04-2017,02:29:44,31802,3243
3,Oregon lawmakers vote to shield marijuana users info from feds,12-04-2017,09:10:29,1988,102
4,DeVos Undoes Obama Student Loan Protections,12-04-2017,00:42:00,26072,4459
5,Elephants pass intelligence test with profound implications for our understanding of the species,12-04-2017,19:41:36,157,31
6,Memphis police body cameras lead to 39-percent drop in complaints,12-04-2017,01:33:09,3413,309
7,Police Officers Shouldnt do Airlines Dirty Work: San Francisco Supervisor,12-04-2017,06:51:07,1071,329
8,"Bitcoin value rises over $1 billion as Japan, Russia move to legitimize cryptocurrency",12-04-2017,16:52:18,144,42
9,Sacramento police officer suspended after video shows him punching jaywalking suspect,12-04-2017,18:29:11,111,31
10,A small-town Iowa newspaper with a staff of 10 people - most of whom are related to each other  has won a Pulitzer Prize for taking on powerful agricultural companies over farm pollution.,11-04-2017,18:45:57,65573,1373
11,Jury: Anti-gay Brunswick pastor guilty of 8 counts of child molestation,12-04-2017,00:31:15,2904,250
12,Alabama ends death penalty by judicial override,12-04-2017,13:24:13,235,41
13,Mom of 4 U.S.-born children to be deported after appeals court blocks stay,12-04-2017,17:26:39,83,312
14,Mullin says he  not constituents  pays his own salary through taxes,12-04-2017,14:46:47,113,39
15,Hospital staff break rules to grant dying mans wish: some wine and a cigarette,12-04-2017,16:15:36,81,8
16,Pope Francis has opened a new laundromat for the homeless to wash and dry their clothing.,11-04-2017,17:17:44,8931,469
17,Gag order keeps Oregon from telling public about cancer-causing pollutant,11-04-2017,17:29:49,5504,406
18,Charging Bull creator plans to fight NYC on Fearless Girl statue,12-04-2017,17:07:31,57,56
19,Investigation finds inmates built computers and hid them in ceiling at Marion Prison,12-04-2017,14:24:40,97,24
20,California officer seen on video punching jaywalker in face,12-04-2017,06:02:09,422,136
21,Netflix will invest billions to shoot its original content in California,12-04-2017,19:34:48,38,9
22,Teen denied double-lung transplant after smoking marijuana,12-04-2017,16:31:38,53,33
23,"A disbarred Pennsylvania attorney has been charged with stealing nearly $147,000 from special needs clients whose money he was supposed to manage.",12-04-2017,19:16:43,32,2
24,"Climate Change Is A National Security Issue, Says The Military",11-04-2017,21:51:03,1497,142
25,Alabama Senate Allows Church to Form Its Own Police Force,12-04-2017,02:31:37,613,369
26,"California sun produces so much power that electricity prices turn negative - In March, during the hours of 8am to 2pm, system average hourly prices were frequently at or below $0 per megawatt-hour.",11-04-2017,15:11:15,5695,695
27,AP Exclusive: UN child sex ring left victims but no arrests,12-04-2017,17:09:17,35,2
28,Bill OReilly taking a break amid sponsor backlash,12-04-2017,06:25:52,208,93
29,Professional wrestler Kane making bid for mayor in Tennessee,12-04-2017,17:22:30,28,15
30,Maryland lawmakers approve bill to fight drug price-gouging,12-04-2017,18:52:06,21,0
31,Canada to create Airline overbooking legislation.,11-04-2017,12:50:58,6600,704
32,"Amid allegations of unpaid taxes, neo-Nazism, and sex offender, Denver furry convention canceled",12-04-2017,14:44:03,40,9
33,Uber PR boss Rachel Whetstone latest to quit company,12-04-2017,04:22:36,232,66
34,Police unions raffle prize: Use of stun gun on an officer,12-04-2017,16:36:20,26,6
35,"Noor Salman, the widow of Pulse nightclub massacre gunman Omar Mateen, will appear federal court Wednesday morning in downtown Orlando, prosecutors said.",12-04-2017,17:49:10,18,0
36,Missouri House passes bill to allow industrial hemp farming,11-04-2017,18:33:02,1367,80
37,EPA: US Steel leaks chemical into Lake Michigan tributary,12-04-2017,20:10:14,13,12
38,Judge sacked for trolling people on online,12-04-2017,18:50:26,14,3
39,Newlyweds both contract brain-invading parasite during honeymoon,12-04-2017,17:58:37,18,8
40,A Montana resident who wrote sexual favors in the memo line on a check to pay his property taxes is complaining that the check hasnt been cashed.,11-04-2017,23:21:33,523,97
41,NC Bill looks to ban gay marriage,12-04-2017,02:14:30,275,376
42,Germans wanting to aid refugees now at risk of bankruptcy,12-04-2017,18:48:53,13,2
43,Man filmed being dragged off United flight causes outrage in China,11-04-2017,11:10:40,5360,1125
44,Father of Texas student who killed himself over unproven allegation files suit,12-04-2017,10:39:06,50,9
45,Rage at abandonment by the state as Egypts Christians dig graves after bombing,12-04-2017,07:00:04,104,6
46,American Airlines Employee Saves the Lives of Two Passengers on a Single Day,12-04-2017,08:20:42,80,19
47,Artist J. Geils found dead in Mass. home,12-04-2017,03:25:56,188,30
48,Mans drug charges dismissed over unlawful stop,12-04-2017,19:08:49,12,5
49,"In surprise move, Irans Ahmadinejad to run for president",12-04-2017,17:34:16,13,3
50,Prosecutor Sues Florida Governor For Pulling Her From 23 Murder Cases,12-04-2017,16:25:12,14,2
51,FCC withdraws Obama-era proposal to allow cell phone use on planes,12-04-2017,06:05:38,100,73
52,Authorities in Maryland say a police officer checking on a report of car break-ins shot a man who reached for a gun in his waistband.,12-04-2017,18:04:30,12,8
53,Authorities hunt platypus serial killer in Australia,12-04-2017,16:38:39,12,2
54,Devon nurse jailed for filming himself raping toddler,12-04-2017,06:39:03,87,45
55,Putin Says to Expect Fake Gas Attacks to Discredit Assad,11-04-2017,20:01:45,583,425
56,Doctor sentenced for murder after hepatitis C outbreak has died,12-04-2017,19:52:40,9,1
57,Hexavalent chromium spill in Northwest Indiana,12-04-2017,06:58:10,78,16
58,Canadian Hearing Society ramps up pay for top executives as strike continues - Toronto,12-04-2017,17:39:04,9,1
59,Man gets 2-cent check from government and doesnt know why,12-04-2017,19:24:20,8,6
